Model,Accuracy,Churn Precision,Churn Recall,Churn F1
Original Logistic Regression,0.8545727136431784,0.4772727272727273,0.22105263157894736,0.302158273381295
Balanced Logistic Regression,0.7766116941529235,0.365,0.7684210526315789,0.49491525423728816
